,purchase_ID,Date at created,Category,Name,Purchase Price,Delivery Price,Total
24,25,21-10-2020 14:43:01.121848,Postres · Desayunos,Jacques Pastelería,35000,5900,40900
25,26,21-10-2020 14:43:01.327825,Saludable · Desayunos,Guadalupe - Fruteria,39700,5900,45600
26,27,21-10-2020 14:43:01.433821,Desayunos · Café,El Gualilo,15600,6200,21800
27,28,21-10-2020 14:43:01.790117,Postres · Desayunos,BagBog Bagels,12500,6400,18900
28,29,21-10-2020 14:43:02.146264,Sushi,Kim Pop,11870,5400,17270
29,30,21-10-2020 14:43:02.352151,Saludable · Típica,Sopas Mrg,24300,3100,27400
30,31,21-10-2020 14:43:02.558096,Pizza,Pizza Andante,15600,6300,21900
31,32,21-10-2020 14:43:02.663936,Desayunos,Señor Desayuno,17800,6800,24600
32,33,21-10-2020 14:43:02.919957,Típica,El Cucharón - Tipica,24200,4400,28600
33,34,21-10-2020 14:43:03.276070,Pizza · Italiana,Pisapore - Pizza,15600,6600,22200
34,35,21-10-2020 14:43:03.582296,Parrilla,Coquitas,13000,5600,18600
35,36,21-10-2020 14:43:03.938534,Típica,Cabrito Santandereano,17800,6600,24400
36,37,21-10-2020 14:43:04.094628,Parrilla,Antojo a Domicilio,48750,5000,53750
37,38,21-10-2020 14:43:04.250705,Típica · Parrilla,Mi Ranchito Parrilla,37900,4400,42300
38,39,21-10-2020 14:43:04.456825,Parrilla,OAK Ahumado y Brebajes,48750,6000,54750
39,40,21-10-2020 14:43:04.663979,Típica,Bandejas Mrg,70000,3800,73800
40,41,21-10-2020 14:43:05.020225,Desayunos · Típica,La Frijolada,17800,4500,22300
41,42,21-10-2020 14:43:05.126177,Postres · Desayunos,BagBog Bagels,9000,6400,15400
42,43,21-10-2020 14:43:05.332236,Pollo · Pescados y Mariscos,Bang Bang Rice,35000,3400,38400
43,44,21-10-2020 14:43:05.688389,Postres · Desayunos,La Folie - Postres,10700,3300,14000
44,45,21-10-2020 14:43:06.044548,Hamburguesas,Bendito Cordero,15600,5800,21400
45,46,21-10-2020 14:43:06.150515,Alta Cocina · Postres,La Pinta,17800,4500,22300
46,47,21-10-2020 14:43:06.456679,Sushi,Kim Pop,17800,5400,23200
47,48,21-10-2020 14:43:06.762916,Desayunos · Típica,Casa Vieja,37900,6000,43900
48,49,21-10-2020 14:43:07.119150,Saludable · Parrilla,The Angels Grill and Drinks,23000,6200,29200
49,50,21-10-2020 14:43:07.425394,Hamburguesas · Panadería,NYC Burgers,39700,6200,45900
50,51,21-10-2020 14:43:07.781619,Típica,Cabrito Santandereano,23000,6600,29600
51,52,21-10-2020 14:43:08.087710,Típica · Parrilla,Parrilla Farandula Gourmet,10700,5100,15800
52,53,21-10-2020 14:43:08.344088,Peruana,Uma Cantina Peruana,13000,3200,16200
53,54,21-10-2020 14:43:08.600295,Desayunos · Típica,Fogón Sangileño,9000,5000,14000
54,55,21-10-2020 14:43:08.756409,Postres · Desayunos,KOKOA & co.,15000,4700,19700
55,56,21-10-2020 14:43:08.962579,Desayunos · Típica,Criollomania,9000,5200,14200
56,57,21-10-2020 14:43:09.318852,Típica,Cabrito Santandereano,7500,6600,14100
57,58,21-10-2020 14:43:09.474977,Saludable · Desayunos,Raices Bienestar Gourmet,31800,6600,38400
58,59,21-10-2020 14:43:09.832603,Peruana · Internacional,La Chifería,53400,6600,60000
59,60,21-10-2020 14:43:10.139103,Pollo · Sánduches,Pollos Century,10700,3000,13700
60,61,21-10-2020 14:43:10.245056,Postres · Desayunos,Protein Bakes,27800,5900,33700
61,62,21-10-2020 14:43:10.501213,Desayunos · Típica,Alce,11870,4900,16770
62,63,21-10-2020 14:43:10.607320,Típica,Sabores De Mi Tierra,17800,5400,23200
63,64,21-10-2020 14:43:10.763372,Desayunos · Pescados y Mariscos,Gypsy Bistro,27800,4500,32300
64,65,21-10-2020 14:43:10.869389,Saludable · Parrilla,The Angels Grill and Drinks,34500,6200,40700
65,66,21-10-2020 14:43:11.225521,Desayunos · Café,Matchacha,39700,5900,45600
66,67,21-10-2020 14:43:11.331422,Típica,Baondish,39700,5800,45500
67,68,21-10-2020 14:43:11.687704,Desayunos · Típica,Rojo Gourmet,65000,4700,69700
68,69,21-10-2020 14:43:11.943914,Típica,Juan Chorizo,48750,3900,52650
69,70,21-10-2020 14:43:12.300242,Desayunos · Café,Aromacafé el Placer de Compartir,53900,5000,58900
70,71,21-10-2020 14:43:12.406304,Saludable,Puro Verde,35000,5700,40700
71,72,21-10-2020 14:43:12.512247,Postres · Saludable,Ana Rebana,13600,6300,19900
72,73,21-10-2020 14:43:12.818613,Jugos y Batidos,Pomponio,24300,3600,27900
73,74,21-10-2020 14:43:12.974713,Parrilla · Café,Figaro Café/ Restaurante Argentino,35000,5800,40800
74,75,21-10-2020 14:43:13.130837,Helados,Buon Gelato,35000,4400,39400
75,76,21-10-2020 14:43:13.236881,Sushi · Desayunos,Maki Roll,11870,4300,16170
76,77,21-10-2020 14:43:13.393002,Hamburguesas · Panadería,NYC Burgers,13600,6200,19800
77,78,21-10-2020 14:43:13.499062,Típica,Sopitas y Más,31800,4200,36000
78,79,21-10-2020 14:43:13.655166,Desayunos · Helados,San Giorgio Gelateria,70000,3100,73100
79,80,21-10-2020 14:43:13.861283,Postres,La Galeta,53900,3000,56900
80,81,21-10-2020 14:43:14.167367,Hamburguesas,Burger Society,9000,4100,13100
81,82,21-10-2020 14:43:14.523793,Típica · Parrilla,Mi Ranchito Parrilla,15600,4400,20000
82,83,21-10-2020 14:43:14.780106,Parrilla,Antojo a Domicilio,13600,5000,18600
83,84,21-10-2020 14:43:15.037811,Desayunos · Árabe,Boniato Sabores Vivos,35000,5300,40300
84,85,21-10-2020 14:43:15.194611,Mexicana,Mexicanachos,35000,3900,38900
85,86,21-10-2020 14:43:15.350696,Mexicana,Cantina La 15,24200,4300,28500
86,87,21-10-2020 14:43:15.707649,Parrilla,El Tambor,9000,6800,15800
87,88,21-10-2020 14:43:16.063911,Poke,Poke Go,39700,4600,44300
88,89,21-10-2020 14:43:16.420213,Postres · Helados,Mahé,13600,6000,19600
89,90,21-10-2020 14:43:16.576259,Sushi · Desayunos,Maki Roll,23000,4300,27300
90,91,21-10-2020 14:43:16.732407,Pollo,Chicken House,8900,4200,13100
91,92,21-10-2020 14:43:16.838440,Parrilla · Internacional,Taperia de la Plaza,34500,5700,40200
92,93,21-10-2020 14:43:17.144697,Hamburguesas · Saludable,Restaurant Inn,24200,6100,30300
93,94,21-10-2020 14:43:17.451080,Típica · Parrilla,La Parilla de David,17800,3100,20900
94,95,21-10-2020 14:43:17.557101,Postres · Desayunos,Vivalight Market.,48750,6500,55250
95,96,21-10-2020 14:43:17.713242,Saludable · Jugos y Batidos,Berdes Drinks & Salads,15000,3500,18500
96,97,21-10-2020 14:43:18.019446,Saludable · Desayunos,Malú,11870,3700,15570
97,98,21-10-2020 14:43:18.125612,Desayunos,Don Leo,48750,6000,54750
98,99,21-10-2020 14:43:18.331677,Sánduches,Submarin,31800,3800,35600
99,100,21-10-2020 14:43:18.638127,Hamburguesas · Saludable,Restaurant Inn,70000,6100,76100
100,101,21-10-2020 14:43:18.894523,Italiana,Bocatto Di Passo,45800,5000,50800
101,102,21-10-2020 14:43:19.100624,Típica,El Cucharón - Tipica,53400,4400,57800
102,103,21-10-2020 14:43:19.356880,Alta Cocina · Postres,La Pinta,35000,4500,39500
103,104,21-10-2020 14:43:19.463060,Peruana,Masivo,48750,5800,54550
104,105,21-10-2020 14:43:19.569187,Postres · Desayunos,Aury Postres - Comidas & Picadas,24300,4700,29000
105,106,21-10-2020 14:43:19.925516,Saludable · Parrilla,The Angels Grill and Drinks,53900,6200,60100
106,107,21-10-2020 14:43:20.082922,Típica · Parrilla,El Portal de la Antigua,39700,5600,45300
107,108,21-10-2020 14:43:20.439460,Saludable,MIMA,18900,3700,22600
108,109,21-10-2020 14:43:20.595627,Saludable · Desayunos,Agua Dulce,65000,3700,68700
109,110,21-10-2020 14:43:20.801861,Desayunos · Típica,Calentao Express,8900,6000,14900
110,111,21-10-2020 14:43:21.158239,Sushi · Asiática,Tu Sushi,45800,6400,52200
111,112,21-10-2020 14:43:21.314514,Desayunos · Típica,Rojo Gourmet,45800,4700,50500
112,113,21-10-2020 14:43:21.420578,Desayunos,El Fogón Castellano,15600,3200,18800
113,114,21-10-2020 14:43:21.626828,Desayunos · Panadería,Santa Juana Food Bar,23000,5900,28900
114,115,21-10-2020 14:43:21.732983,Pollo · Pescados y Mariscos,Bang Bang Rice,23000,3400,26400
115,116,21-10-2020 14:43:21.839233,Saludable · Desayunos,Fresh Co,35000,5600,40600
116,117,21-10-2020 14:43:22.195641,Típica,Salsig,15000,5600,20600
117,118,21-10-2020 14:43:22.552057,Pizza,18 Scalini,10700,4300,15000
118,119,21-10-2020 14:43:22.708356,Desayunos,Sunny Breakfast Brunch,7500,4300,11800
119,120,21-10-2020 14:43:22.964578,Postres · Desayunos,Restaurante Cornelia,18900,5500,24400
120,121,21-10-2020 14:43:23.070713,Jugos y Batidos,Pomponio,13000,3600,16600
121,122,21-10-2020 14:43:23.376988,Desayunos,Don Leo,23000,6000,29000
122,123,21-10-2020 14:43:23.633431,Postres,Levelma,27800,6200,34000
123,124,21-10-2020 14:43:23.889772,Típica,Cazuelitas 93,24300,3900,28200
124,125,21-10-2020 14:43:24.095945,Desayunos · Empanadas,Empanadas Doraditas.com,13600,3000,16600
125,126,21-10-2020 14:43:24.202101,Italiana,F*cking Good Pizza,11870,4200,16070
126,127,21-10-2020 14:43:24.308150,Saludable · Desayunos,Copacabana Açai Bowls,15600,3000,18600
127,128,21-10-2020 14:43:24.514454,Postres · Café,Celestino Café,8900,5900,14800
128,129,21-10-2020 14:43:24.820723,Típica,Cabrito Santandereano,37900,6600,44500
129,130,21-10-2020 14:43:25.178253,Desayunos · Típica,La Frijolada,17800,4500,22300
130,131,21-10-2020 14:43:25.334600,Pollo · Saludable,Tremenda Sal y Dulce,45800,6500,52300
131,132,21-10-2020 14:43:25.640959,Desayunos · Café,Frambas,27800,3400,31200
132,133,21-10-2020 14:43:25.947343,Desayunos · Helados,San Giorgio Gelateria,23000,3100,26100
133,134,21-10-2020 14:43:26.053526,Típica · Pescados y Mariscos,La Vitualla,12500,6300,18800
134,135,21-10-2020 14:43:26.409972,Típica,Cabrito Santandereano,15600,6600,22200
135,136,21-10-2020 14:43:26.616126,Desayunos,Archies Desayunos,9000,3100,12100
136,137,21-10-2020 14:43:26.722375,Peruana,Uma Cantina Peruana,15000,3200,18200
137,138,21-10-2020 14:43:27.028765,Parrilla,El Tambor,31800,6800,38600
138,139,21-10-2020 14:43:27.135000,Pizza,Pastas Laurentina,27800,4800,32600
139,140,21-10-2020 14:43:27.341314,Saludable,Puro Verde,7500,5700,13200
140,141,21-10-2020 14:43:27.697826,Comida Rápida,Fiesta Digital Andrés,24300,3100,27400
141,142,21-10-2020 14:43:27.803969,Pollo,Señor Fantástico,37900,4700,42600
142,143,21-10-2020 14:43:27.960253,Sushi,Umi,24200,5600,29800
143,144,21-10-2020 14:43:28.166617,Desayunos · Empanadas,Empanadas Doraditas.com,53400,3000,56400
144,145,21-10-2020 14:43:28.473031,Típica,Campo Victoria,27800,3000,30800
145,146,21-10-2020 14:43:28.729392,Típica,La Olla de Barro,31800,5300,37100
146,147,21-10-2020 14:43:28.835478,Desayunos · Panadería,Artesanos,53400,4300,57700
147,148,21-10-2020 14:43:29.141937,Postres · Café,Loló Coffee & Snacks,27800,4600,32400
148,149,21-10-2020 14:43:29.498383,Parrilla,Campocina,45800,4600,50400
149,150,21-10-2020 14:43:29.754776,Postres · Desayunos,BagBog Bagels,34500,6400,40900
150,151,21-10-2020 14:43:29.961066,Postres · Desayunos,Restaurante Cornelia,65000,5500,70500
151,152,21-10-2020 14:43:30.218447,Desayunos · Panadería,Le Pain Quotidien,17800,3900,21700
152,153,21-10-2020 14:43:30.575188,Desayunos · Café,Matchacha,12500,5900,18400
153,154,21-10-2020 14:43:30.681436,Típica · Parrilla,La Parilla de David,35000,3100,38100
154,155,21-10-2020 14:43:30.837751,Típica · Pescados y Mariscos,La Vitualla,23000,6300,29300
155,156,21-10-2020 14:43:31.144198,Desayunos,Jacinta Arepas de Huevo,27800,4000,31800
156,157,21-10-2020 14:43:31.350652,Pescados y Mariscos,La Gran Cazuela,31800,3200,35000
157,158,21-10-2020 14:43:31.556988,Alta Cocina · Italiana,Trattoria de la Plaza,17800,6000,23800
158,159,21-10-2020 14:43:31.713387,Desayunos · Panadería,Artesanos,24300,4300,28600
159,160,21-10-2020 14:43:31.969815,Asiática,TeT,13000,5900,18900
160,161,21-10-2020 14:43:32.126182,Comida Rápida,Fiesta Digital Andrés,48750,3100,51850
161,162,21-10-2020 14:43:32.432539,Típica,Sabrosito,35000,4000,39000
162,163,21-10-2020 14:43:32.638896,Hamburguesas · Pescados y Mariscos,El Velero,34500,6500,41000
163,164,21-10-2020 14:43:32.845367,Pizza · Italiana,Pisapore - Pizza,24300,6600,30900
164,165,21-10-2020 14:43:33.051570,Desayunos · Típica,Cochon,8900,3300,12200
165,166,21-10-2020 14:43:33.207929,Desayunos · Comida Rápida,La Veneca,15000,6300,21300
166,167,21-10-2020 14:43:33.464492,Saludable · Desayunos,Malú,53900,3700,57600
167,168,21-10-2020 14:43:33.670974,Típica,Sopitas y Más,12500,4200,16700
168,169,21-10-2020 14:43:33.977389,Parrilla,Restaurante Bar Mi Ranchito,13000,5200,18200
169,170,21-10-2020 14:43:34.133648,Típica,Carbón & Mondongos,53900,6400,60300
170,171,21-10-2020 14:43:34.440096,Desayunos · Típica,Criollomania,18900,5200,24100
171,172,21-10-2020 14:43:34.646648,Pollo · Pescados y Mariscos,Bang Bang Rice,70000,3400,73400
172,173,21-10-2020 14:43:35.003235,Parrilla · Café,Figaro Café/ Restaurante Argentino,53400,5800,59200
173,174,21-10-2020 14:43:35.209692,Desayunos · Sánduches,Frutos del Bosque,53400,3500,56900
174,175,21-10-2020 14:43:35.316835,Pizza · Parrilla,Urban Lunch,35000,4000,39000
175,176,21-10-2020 14:43:35.523333,Sushi · Desayunos,Maki Roll,15000,4300,19300
176,177,21-10-2020 14:43:35.829974,Pollo · China,China Tao,35000,3500,38500
177,178,21-10-2020 14:43:35.936185,Hamburguesas · Saludable,Restaurant Inn,15600,6100,21700
178,179,21-10-2020 14:43:36.042579,Pollo · Pescados y Mariscos,Bang Bang Rice,48750,3400,52150
179,180,21-10-2020 14:43:36.399082,Pizza,18 Scalini,13000,4300,17300
180,181,21-10-2020 14:43:36.555481,Desayunos · Típica,90 Calentados,29500,3700,33200
181,182,21-10-2020 14:43:36.811924,Postres · Desayunos,Café Quindio,13000,5700,18700
182,183,21-10-2020 14:43:36.918205,Comida Rápida,Fiesta Digital Andrés,23000,3100,26100
183,184,21-10-2020 14:43:37.124507,Típica,Bendita S,7500,4600,12100
184,185,21-10-2020 14:43:37.330985,Parrilla · Café,Figaro Café/ Restaurante Argentino,8900,5800,14700
185,186,21-10-2020 14:43:37.687612,Hamburguesas,Gofi Burger,48750,5100,53850
186,187,21-10-2020 14:43:37.894054,Postres · Panadería,RIGHT AWAY FOODS,24300,6600,30900
187,188,21-10-2020 14:43:38.250543,Desayunos · Típica,Calentao Express,53900,6000,59900
188,189,21-10-2020 14:43:38.356875,Saludable,Puro Verde,9000,5700,14700
189,190,21-10-2020 14:43:38.563333,Postres,Levelma,15000,6200,21200
190,191,21-10-2020 14:43:38.869952,Parrilla · Internacional,Taperia de la Plaza,15000,5700,20700
191,192,21-10-2020 14:43:39.176386,Desayunos · Árabe,Boniato Sabores Vivos,65000,5300,70300
192,193,21-10-2020 14:43:39.332674,Típica,Campo Victoria,7500,3000,10500
193,194,21-10-2020 14:43:39.539128,Desayunos · Café,vereda central calle 99,24200,5700,29900
194,195,21-10-2020 14:43:39.745709,Típica,Carbón & Mondongos,7500,6400,13900
195,196,21-10-2020 14:43:40.052270,Comida Rápida,Fiesta Digital Andrés,15600,3100,18700
196,197,21-10-2020 14:43:40.308723,Desayunos · Típica,Parrilla Farandula Típico,45800,5900,51700
197,198,21-10-2020 14:43:40.616494,Desayunos · Sánduches,Frutos del Bosque,35000,3500,38500
198,199,21-10-2020 14:43:40.773181,Desayunos · Panadería,Decofruta,23000,4700,27700
199,200,21-10-2020 14:43:40.979606,Desayunos,Jacinta Arepas de Huevo,18900,4000,22900
200,201,21-10-2020 14:43:41.186076,Desayunos · Sánduches,Garnish,15000,5200,20200
201,202,21-10-2020 14:43:41.492622,Peruana · Internacional,La Chifería,29500,6600,36100
202,203,21-10-2020 14:43:41.599095,Postres · Desayunos,Restaurante Cornelia,15000,5500,20500
203,204,21-10-2020 14:43:41.905763,Pollo · Saludable,Gratina,35000,4200,39200
204,205,21-10-2020 14:43:42.011970,Típica · Parrilla,La Ternera Parrilla,7500,5200,12700
205,206,21-10-2020 14:43:42.218529,Desayunos · Panadería,Siena Café,12500,3700,16200
206,207,21-10-2020 14:43:42.424992,Típica,La Herencia,9000,5900,14900
207,208,21-10-2020 14:43:42.631493,Desayunos,Butter,53400,6700,60100
208,209,21-10-2020 14:43:42.838072,Desayunos · Café,Libertario Coffee Roasters,12500,4600,17100
209,210,21-10-2020 14:43:42.944357,Típica · Parrilla,Toya,24300,4200,28500
210,211,21-10-2020 14:43:43.100797,Alta Cocina · Parrilla,Criterión,12500,6000,18500
211,212,21-10-2020 14:43:43.257370,Desayunos · Panadería,El Pan de Phillippe,35000,4600,39600
212,213,21-10-2020 14:43:43.513963,Postres · Café,Celestino Café,35000,5900,40900
213,214,21-10-2020 14:43:43.820567,Típica,Baondish,45800,5800,51600
214,215,21-10-2020 14:43:44.027153,Desayunos · Café,El Gualilo,34500,6200,40700
215,216,21-10-2020 14:43:44.383802,Postres · Desayunos,BagBog Bagels,48750,6400,55150
216,217,21-10-2020 14:43:44.590401,Sushi,Canoa To Go,7500,5900,13400
217,218,21-10-2020 14:43:44.947135,Hamburguesas,Bendito Cordero,27800,5800,33600
218,219,21-10-2020 14:43:45.103563,Parrilla,OAK Ahumado y Brebajes,53400,6000,59400
219,220,21-10-2020 14:43:45.360162,Parrilla,Beraca Parrilla Bbq,18900,5600,24500
220,221,21-10-2020 14:43:45.566760,Sushi,Umi,48750,5600,54350
221,222,21-10-2020 14:43:45.724356,Desayunos,Desayunos en Bogotá,39700,3400,43100
222,223,21-10-2020 14:43:45.981057,Parrilla,Parrilla Pimentón,9000,3400,12400
223,224,21-10-2020 14:43:46.087500,Típica,La Herencia,24300,5900,30200
224,225,21-10-2020 14:43:46.443854,Desayunos,Sr Buñuelo,17800,6400,24200
225,226,21-10-2020 14:43:46.650485,Saludable · Desayunos,Libre de Culpa,17800,4000,21800
226,227,21-10-2020 14:43:46.857066,Desayunos · Típica,Fogón Sangileño,17800,5000,22800
227,228,21-10-2020 14:43:46.963495,Típica,Baondish,18900,5800,24700
228,229,21-10-2020 14:43:47.069848,Desayunos,Sr Buñuelo,12500,6400,18900
229,230,21-10-2020 14:43:47.226344,Jugos y Batidos,Pomponio,53400,3600,57000
230,231,21-10-2020 14:43:47.382730,Saludable · Desayunos,Malú,18900,3700,22600
231,232,21-10-2020 14:43:47.539253,Típica · Parrilla,La Parilla de David,34500,3100,37600
232,233,21-10-2020 14:43:47.846061,Parrilla,Restaurante Bar Mi Ranchito,29500,5200,34700
233,234,21-10-2020 14:43:47.952439,Desayunos,El Corral - Desayunos,31800,5000,36800
234,235,21-10-2020 14:43:48.309243,Postres · Desayunos,Protein Bakes,15000,5900,20900
235,236,21-10-2020 14:43:48.665913,Desayunos · Panadería,El Pan de Phillippe,48750,4600,53350
236,237,21-10-2020 14:43:48.972547,Mexicana,Cantina La 15,31800,4300,36100
237,238,21-10-2020 14:43:49.129096,Hamburguesas,Gofi Burger,9000,5100,14100
238,239,21-10-2020 14:43:49.285777,Postres,La Galeta,12500,3000,15500
239,240,21-10-2020 14:43:49.542406,Saludable · Desayunos,Raices Bienestar Gourmet,10700,6600,17300
240,241,21-10-2020 14:43:49.648943,Desayunos · Típica,D'Porco - Lechona,13600,6300,19900
241,242,21-10-2020 14:43:49.905600,Saludable · Desayunos,La Estampilla,53900,6000,59900
242,243,21-10-2020 14:43:50.112075,Desayunos · Panadería,Choclofee,7500,4700,12200
243,244,21-10-2020 14:43:50.368687,Sánduches · Pescados y Mariscos,Pacific Comida de Mar,29500,4000,33500
244,245,21-10-2020 14:43:50.625375,Alta Cocina · Parrilla,Criterión,31800,6000,37800
245,246,21-10-2020 14:43:50.832976,Perros Calientes,Dog Shop - Rapida,8900,4900,13800
246,247,21-10-2020 14:43:51.189818,Postres,La Galeta,65000,3000,68000
247,248,21-10-2020 14:43:51.296347,Desayunos · Típica,Papadió - Colombianas,70000,5700,75700
248,249,21-10-2020 14:43:51.452855,Desayunos,El Corral - Desayunos,24300,5000,29300
249,250,21-10-2020 14:43:51.809666,Parrilla,Restaurante Bar Mi Ranchito,10700,5200,15900
250,251,21-10-2020 14:43:51.966047,Postres · Café,Loló Coffee & Snacks,24200,4600,28800
251,252,21-10-2020 14:43:52.322907,Desayunos · Típica,Peninsula Calentados y Parrilla,17800,3400,21200
252,253,21-10-2020 14:43:52.529450,Pollo · Saludable,Gratina,24300,4200,28500
253,254,21-10-2020 14:43:52.786138,Pollo,Heart & Cooking,48750,5000,53750
254,255,21-10-2020 14:43:53.142896,Parrilla,Campocina,34500,4600,39100
255,256,21-10-2020 14:43:53.449585,Pollo · Desayunos,Abasto,29500,3600,33100
256,257,21-10-2020 14:43:53.606149,Sushi,Sushi Reel,24200,4700,28900
257,258,21-10-2020 14:43:53.912814,Pollo,Heart & Cooking,24300,5000,29300
258,259,21-10-2020 14:43:54.069407,Parrilla,Campocina,10700,4600,15300
259,260,21-10-2020 14:43:54.325919,Italiana,F*cking Good Pizza,53400,4200,57600
260,261,21-10-2020 14:43:54.432432,Desayunos · Café,Libertario Coffee Roasters,9000,4600,13600
261,262,21-10-2020 14:43:54.689252,Desayunos · Pescados y Mariscos,Luzí­a - Mediterranea,24300,5700,30000
262,263,21-10-2020 14:43:54.895796,Parrilla,Rústico Picadería,13000,3800,16800
263,264,21-10-2020 14:43:55.102417,Pollo · Típica,Auyama,65000,3900,68900
264,265,21-10-2020 14:43:55.209047,Desayunos · Café,Libertario Coffee Roasters,53900,4600,58500
265,266,21-10-2020 14:43:55.415788,Postres,Toledo Pastelería,13000,6800,19800
266,267,21-10-2020 14:43:55.622576,Pescados y Mariscos,Fish Place - Del Mar,9000,5400,14400
267,268,21-10-2020 14:43:55.980368,Comida Rápida,Fiesta Digital Andrés,39700,3100,42800
268,269,21-10-2020 14:43:56.337222,Típica · Parrilla,El Santandereano,65000,5200,70200
269,270,21-10-2020 14:43:56.443636,Sánduches,Submarin,15600,3800,19400
270,271,21-10-2020 14:43:56.800553,Desayunos · Italiana,Rceta By Rausch,29500,3600,33100
271,272,21-10-2020 14:43:57.107331,Desayunos · Comida Rápida,Chocolatto,37900,3400,41300
272,273,21-10-2020 14:43:57.414220,Hamburguesas · Saludable,Restaurant Inn,48750,6100,54850
273,274,21-10-2020 14:43:57.520659,Hamburguesas · Desayunos,El Inglés Gastro Pub,39700,6600,46300
274,275,21-10-2020 14:43:57.677279,Crepes,San Crepes,31800,4900,36700
275,276,21-10-2020 14:43:57.983896,Peruana,Masivo,23000,5800,28800
276,277,21-10-2020 14:43:58.340761,Típica,Cazuelitas 93,53900,3900,57800
277,278,21-10-2020 14:43:58.597707,Postres · Desayunos,Amelie Helados,17800,6400,24200
278,279,21-10-2020 14:43:58.854661,Pollo,Señor Fantástico,35000,4700,39700
279,280,21-10-2020 14:43:58.961236,Desayunos · Pescados y Mariscos,Luzí­a - Mediterranea,15600,5700,21300
280,281,21-10-2020 14:43:59.217838,Desayunos · Café,Matchacha,12500,5900,18400
281,282,21-10-2020 14:43:59.324402,Helados,Orso To Go,23000,6800,29800
282,283,21-10-2020 14:43:59.681386,Desayunos · Café,Aromacafé el Placer de Compartir,15000,5000,20000
283,284,21-10-2020 14:43:59.787883,Típica,Sabores De Mi Tierra,12500,5400,17900
284,285,21-10-2020 14:43:59.994674,Desayunos · Típica,Fogón Sangileño,18900,5000,23900
285,286,21-10-2020 14:44:00.301463,Típica · Parrilla,Toya,15000,4200,19200
286,287,21-10-2020 14:44:00.558047,Típica,El Mondongo y Mucho Mas,7500,5600,13100
287,288,21-10-2020 14:44:00.814981,Alta Cocina · Postres,La Pinta,11870,4500,16370
288,289,21-10-2020 14:44:01.022836,Pizza · Italiana,Piatto - Pizza,70000,6600,76600
289,290,21-10-2020 14:44:01.279831,Sánduches · China,Peru Mix,12500,5900,18400
290,291,21-10-2020 14:44:01.536583,Hamburguesas,Burger Society,23000,4100,27100
291,292,21-10-2020 14:44:01.893527,Desayunos,El Fogón Castellano,35000,3200,38200
292,293,21-10-2020 14:44:02.100091,Saludable · Desayunos,Guadalupe - Fruteria,23000,5900,28900
293,294,21-10-2020 14:44:02.356873,Postres,Beiked,23000,4000,27000
294,295,21-10-2020 14:44:02.563663,Desayunos · Café,Matchacha,9000,5900,14900
295,296,21-10-2020 14:44:02.870558,Saludable · Desayunos,Re.al Alimentos Reales,53400,4000,57400
296,297,21-10-2020 14:44:02.977109,Desayunos,El Fogón Castellano,39700,3200,42900
297,298,21-10-2020 14:44:03.133793,Mexicana,Hidalgo Taquería,70000,4900,74900
298,299,21-10-2020 14:44:03.340439,Sánduches · China,Peru Mix,15000,5900,20900
